상호,업종,주소,메뉴
플랜에이치 건대역1호점,미용실,서울 광진구 아차산로30길 8 2층,"첫방문 남성컷(N예약+N페이)(15,400원), 첫방문 여성컷(N예약+N페이)(17,500원), 첫방문 컷&다운펌(33,000원), 첫방문 남성펌(N예약+N페이)(45,000원), 첫방문 여성 뿌리염색(N예약+N페이)(42,000원)"
설렘 미용실,미용실,서울 광진구 능동로11길 9 설렘,"남&여 컷트(22,000원), 펌(88,000원), 일반염색(55,000원), 일반(66,000원), 붙임머리(100,000원)"
헤어더뷰 건대점,미용실,서울 광진구 능동로 123 2층,"첫방문 커트(17,500원), 맨즈 베이직 펌(63,000원), 우먼즈 디지털/셋팅펌(99,000원), 맨즈 베이직 컬러(63,000원), 우먼즈 베이직 컬러(72,000원), INNER / OUT 케어(60,000원), 프리미엄 스파(80,000원)"
준오헤어 구의역점,미용실,서울 광진구 아차산로 355 301호,"디자인컷(35,000원), 다운펌(40,000원), 앞 머리펌(50,000원), 일반펌(180,000원), 멘즈펌(150,000원), 셋팅펌(240,000원), 컬러(숏 기준)(120,000원), 스페셜 케어(130,000원)"
더 디얼스 롯데백화점 건대스타시티점,미용실,서울 광진구 능동로 92 롯데백화점 스타시티몰 스타존 3층 301호,"포인트 앞머리컷(1,000원), 남성컷+성형다운펌(52,000원), 첫방문50% 맨즈펌(서우쌤이벤트)(60,000원), 첫방문50% 일반펌(서우쌤이벤트)(75,000원), 성형다운펌(30,000원), 포인트 앞머리펌(40,000원), 첫방문50% 염색(서우쌤이벤트)(50,000원), 베이직 모발스파(50,000원), 베이직 두피스파(50,000원)"
네일디바 레푸스 건대점,"네일아트,네일샵",서울 광진구 동일로20길 116,"첫방문 손젤 풀컬러(45,000원), 첫방문 발젤 풀컬러(55,000원), 베이직 각질 관리(80,000원), 레푸스 내성발톱교정(150,000원), 레푸스 무좀발톱스켈링(250,000원)"
박준뷰티랩 뚝섬유원지역점,미용실,서울 광진구 능동로 18 이튼타워리버 3차 2층 207호 박준뷰티랩,"학생 컷(17,000원), 남성 컷(19,000원), 여성 컷(22,000원), 다운 컷 (다운펌+컷)(40,000원), 남성 스켈링 컷 (스켈프+컷)(40,000원), 여성 스켈링 컷 (스켈프+컷)(48,000원), 베이직 드라이(18,000원), 매직 드라이(20,000원), 웨이브 드라이(25,000원), 업 스타일(60,000원), 샴푸(10,000원), 뿌리 펌(42,000원), 디자인 펌(60,000원), 단백질 펌(80,000원), 열펌 or 매직 (보통모)(96,000원), 열펌 or 매직 (손상모)(108,000원), 볼륨매직 (보통모)(108,000원), 볼륨매직 (손상모)(114,000원), 매직셋팅 (보통모)(120,000원), 매직셋팅 (손상모)(132,000원), 천연 주니어 일반 펌(72,000원), 천연 남성 디자인 펌(90,000원), 천연 여성 디자인 펌(96,000원), 앞머리 일반 펌(30,000원), 앞머리 열펌 or 매직(40,000원), 뿌리염색(40,000원), 전체염색(80,000원), 매니큐어,왁싱(48,000원), 크림헤나,오징어먹물(48,000원), 아윤채 크리닉(72,000원), 무코타 크리닉(60,000원), 밀본 니제르 크리닉(40,000원), 히노키 두피 크리닉(48,000원)"
뷰티바잉,"속눈썹증모,연장",서울 광진구 동일로22길 115 하마빌딩5층,
준오헤어 건대역2호점,미용실,서울 광진구 능동로 109 2층,"여성/남성컷(35,000원), 앞머리컷(10,000원), 남자기본펌(140,000원), 여자기본펌(180,000원), 디지털,셋팅펌(220,000원), 여자염색(140,000원), 남자염색(100,000원), 베이직케어(120,000원)"
플랜에이치 자양역점,미용실,서울 광진구 능동로 21 2층,"여성컷(28,000원), 남성컷(25,000원), 다운펌(20,000원), 일반펌(80,000원), 열펌(140,000원), 볼륨매직(160,000원), 매직셋팅(200,000원), 뿌리염색(60,000원), 전체염색(90,000원), 뿌리탈색(80,000원), 전체탈색(110,000원), 모발 리페어 클리닉(60,000원), 스칼프 클리닉(60,000원), 두피스파(100,000원), 드라이(25,000원)"
건대지금,미용실,서울 광진구 아차산로34길 26 3층,"첫방문커트(18,000원), [펌이벤트] 다운펌+컷(35,000원), [펌이벤트] 셋팅펌 패키지(99,000원), [컬러이벤트] 염색(69,000원), [컬러이벤트] 탈색1회+염색(99,000원), [컬러이벤트] 기장추가X 시크릿투톤(99,000원), [컬러이벤트] 뿌리탈색+염색(150,000원)"
카시아타이마사지 건대점,"피부,체형관리",서울 광진구 군자로 52 2층,
CHOP헤어 건대로데오점,미용실,서울 광진구 동일로20길 106 로데오프라자 1층 CHOP헤어,"RITUAL CUT(25,000원), 디자인펌(100,000원), 디지털펌(기장추가X)(150,000원), 아베다염색(기장추가있음)(100,000원), 아윤채클리닉(기장추가있음)(100,000원)"
